Date,Close,High,Low,Open,Volume
2011-01-28,5512.149902,5614.399902,5459.549805,5614,173107003
2011-01-31,5505.899902,5526.850098,5416.649902,5452.549805,177847681
2011-02-01,5417.200195,5539.149902,5402,5537.299805,171232063
2011-02-02,5432,5490.600098,5415.649902,5469.549805,172198228
2011-02-03,5526.75,5532.649902,5418,5430.450195,154228754
2011-02-04,5395.75,5556.299805,5369.049805,5519.899902,187819542
2011-02-07,5396,5440.350098,5376.950195,5430.149902,150447066
2011-02-08,5312.549805,5432.350098,5303.399902,5432.350098,155600262
2011-02-09,5253.549805,5339.450195,5225.649902,5293.049805,246525934
2011-02-10,5225.799805,5272.600098,5196.799805,5246.049805,225237990
2011-02-11,5310,5319.450195,5177.700195,5219.649902,211250584
2011-02-14,5456,5463.799805,5340.25,5340.25,175710338
2011-02-15,5481,5506.5,5408.350098,5467.75,170459703
2011-02-16,5481.700195,5504.799805,5460.350098,5467.600098,140517190
2011-02-17,5546.450195,5553,5463.399902,5501.700195,143669623
2011-02-18,5458.950195,5599.25,5441.950195,5557.549805,180906498
2011-02-21,5518.600098,5526.25,5413.100098,5456.600098,137634026
2011-02-22,5469.200195,5519.450195,5437.299805,5504.399902,166271411
2011-02-23,5437.350098,5495.200195,5427.549805,5452.450195,173584660
2011-02-24,5262.700195,5423.399902,5242.5,5408.75,259347677
2011-02-25,5303.549805,5338.200195,5232.75,5321.049805,193536325
2011-02-28,5333.25,5477,5308.600098,5330.149902,317245759
2011-03-01,5522.299805,5533.049805,5373.549805,5382,210498269
2011-03-03,5536.200195,5570.75,5468.25,5478.450195,218804792
2011-03-04,5538.75,5608.200195,5524.100098,5586.200195,162006860
2011-03-07,5463.149902,5491.25,5408.450195,5490.049805,134581629
2011-03-08,5520.799805,5530.549805,5464.75,5466.100098,127506672
2011-03-09,5531,5563.299805,5477.450195,5542.399902,149822867
2011-03-10,5494.399902,5516.299805,5468.450195,5516.100098,135730117
2011-03-11,5445.450195,5502.700195,5411.549805,5456.149902,133441964
2011-03-14,5531.5,5537.299805,5434.25,5436.5,173521756
2011-03-15,5449.649902,5497.850098,5373.649902,5420,191037598
2011-03-16,5511.149902,5535.100098,5475.950195,5475.950195,135196748
2011-03-17,5446.649902,5510.049805,5435.299805,5455.399902,135255698
2011-03-18,5373.700195,5483.049805,5366.399902,5475.350098,129492420
2011-03-21,5364.75,5413.299805,5348.200195,5408.75,107174731
2011-03-22,5413.850098,5428.149902,5376.149902,5390.850098,94938100
2011-03-23,5480.25,5484.950195,5401.950195,5411.399902,112036402
2011-03-24,5522.399902,5529,5496.100098,5501.799805,115262055
2011-03-25,5654.25,5667.100098,5560.950195,5588.649902,133451382
2011-03-28,5687.25,5709.100098,5643.200195,5645.25,130717964
2011-03-29,5736.350098,5770.350098,5680.700195,5686.5,140479340
2011-03-30,5787.649902,5803.149902,5753.899902,5755.799805,133208726
2011-03-31,5833.75,5872,5778.649902,5803.049805,219441114
2011-04-01,5826.049805,5860.200195,5810.399902,5835,118321855
2011-04-04,5908.450195,5918.700195,5833.200195,5842,106392427
2011-04-05,5910.049805,5928.649902,5855.850098,5923.850098,110625437
2011-04-06,5891.75,5944.450195,5868.799805,5908,125960708
2011-04-07,5885.700195,5906.100098,5866.25,5888.549805,98160761
2011-04-08,5842,5926.950195,5822,5886.75,99854772
2011-04-11,5785.700195,5830.299805,5777.899902,5805.350098,92734132
2011-04-13,5911.5,5923.600098,5735.549805,5747.950195,145699909
2011-04-15,5824.549805,5907.350098,5806.450195,5898.75,140590405
